Topic,Count,Name,Representation,Representative_Docs
-1,1963,-1_jesuit_de_study_book,"['jesuit', 'de', 'study', 'book', 'jesuits', 'journal', 'jesuit study', 'journal jesuit', 'society', 'open']","['eventually result abandonment cause Schoofs De vita ff Open Access Rai open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License nRai journal jesuit study UN event connect Lessiuss cause stress blurring boundary concept heresy sanctity Catholicism particularly seventeenth century Lessiuss devotee succeed confirm e assumption sanctity catholic theologian consid ere daring heretical Lessius investigate heretic Holy Office absence strong devotional movement probably allow beatify success Bellarmines cause Open Access Rai open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License', 'Ando McGinness open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Ancient Authorities Intertwined journal jesuit study UN providential order Christ command follower preach nation possible assert call order history philosophy theology field knowledge represent authority sacred secular authority human enquiry perennially question interpret light ongoing search cause effect coherent intelligible Open Access MacCormack Ando McGinness open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License', 'Commons AttributionNoncommercial Unported CCBYNC License journal jesuit study figure Societ y Jesus spread faith world Emblem Imago primi saeculi Courtesy John J Burns Library Boston College Open Access Prosperi open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License']"
0,271,0_environmental_access june_june_social,"['environmental', 'access june', 'june', 'social', 'sj', 'ecological', 'community', 'jesuit', 'mining', 'laudato']","['journal jesuit study UNbrillcomjjs Ignacimuthu doi open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License contribution south asian jesuit environmental Work Savarimuthu Ignacimuthu SJ Entomology Research Institute Loyola College Chennai Tamil Nadu India imuthushotmailcom Abstract moment arrive Jesuits India Sri Lanka substantial contribution scientific discipline initial stage directly involve environmental work recent year take initiative work environmental justice Jesuits involve raise awareness environmental issue promote reforestation wa tershe program work provide safe drinking water prevent treefelle study local biodiversity create maintain botanical garden environmental project include promotion solar en ergy biopesticide biofertilizer organic farming micropropagation rare endangered', 'Environmental Studies Journal Environmental Studies Sciences J esuit Asia Pacific Conference Reconciliation creation Strategy January httpwwwsjapcnetwhatwedoreconciliationcreation access June publication Jesuit AsiaPacific ConferenceTask Force Ecology Environmental Science Social Change reconcile creation httpwwwecoje access June Promotio iustitiae httpwwwecojesuitcomjesuitresponsetoenvi environmental Way Proceeding August revision httpwwwecojesuitcom access June jcap Statement Laudato si July httpsjapcnetcontentstatementlauda access June n jesuit AsiaPacific Time Laudato si journal jesuit study UN agenda coordinate effectively management practice develop Jesuit community institute document specific invitationsor callsto engage elaborate respond world risk dialogue sustainable science value inner life particu larly simple lifestyle strategic response disseminate document effort encourage jesuit work deepen ecological', 'concern forand accordingly labor behalf environmental issue cause identify shift ris ing environmental consciousness consequence emergence sharp environmental conflict climate change destruction degra dation crucial ecosystem like Amazon forest widely know presence environmental issue Jesuit ministry foster contact local community live suffer conse quence environmental destruction consequently urgent need provide thoughtful feasible alternative current political social economic challenge face latin american country demand ing consideration environment ideal sustainability Presently Jesuit social center institution numerous effort aim address environmental challenge organization develop longterm project support rural community generate al ternative model development base sustainable use natural resource Jesuit institution focus advocacy']"
1,163,1_music_musical_song_open access,"['music', 'musical', 'song', 'open access', 'access', 'open', 'jesuit', 'milleddu', 'sing', 'fisher']","['Landshut ibid K ennedy Jesuit Colleges Chapels ov erath Die Kirchenmusikpflege der Kölner Jesuiten Duhr Geschichte der Jesuiten lavish ceremony polychoral music July consecration direct ducal chapelmaster Ferdinand di Lasso possibly music Jesuit music director Georg Victorinus Rita Haub Georgius Victorinus und der Tri umphu Divi Michaelis Archangeli Bavarici Musik Bayern Open Access Fisher open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Music Jesuit Way Proceeding journal jesuit study UN increasingly assert musical ensemble period increasingly enjoy systematic instruction singing musi cal roughly Munich Jesuits enjoy dedicated music director silesian native Georg Victorinus compile publish grand', 'condition Second scene Cardinal Altamirano walk church mission choir kind choir outcome Council Trent authoritative view proper set rule liturgical music time council people sing reli gious song profane word profane song religious word practice return sacred music recently Bene dict xvi rightly try correct condition traditional music South America music repetitive primitive music think rhythmic piece soundtrack bear gradually write oboe piece choir piece style evoke Palestrina Monteverdi composer Open Access Colombo open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n miracle Music journal jesuit study UNand indigenous music movie element produce individually mix hear end', 'Bernhard Duhr SJ Geschichte der Jesuiten den ländern deutscher Zunge vol Freiburg m BreisgauSt Louis Herder follow build argument Thomas D Culley SJ Clement J McNaspy SJ Music Early Jesuits Archivum historicum Societatis Jesu Kennedy Jesuits Music Reconsidering early Years Culley mcn aspy Music early Jesuits Duhr Geschichte der Jesuiten cite requirement seminarian learn gregorian chant training Culley mcn aspy Music early Jesuits r eport February Litterae quadrimestre Madrid avrial cite Culley McNaspy Music early Jesuits Open Access Fisher open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License nFisher journal jesuit study UN usually know sing Saturday evening']"
2,108,2_school_student_teacher_education,"['school', 'student', 'teacher', 'education', 'teach', 'jesuit', 'class', 'jesuits', 'jesuit school', 'college']","['fiveplus hour day grammar humanity rhetoric course twoandonehalf hour daily philosophy course exclude preparatory class student teach secular priest hire jesuit class teach reading writing element latin grammar boy able read write possess knowledge latin grammar accept low latin grammar class Jesuit school preparatory class nonJesuit school provide f example January Jesuit school Milan grammar class enrol student humanity class student rhetoric class student total student class average student class Open Access Grendler open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License nGrendler UNjournal jesuit study school small town Brescia small class enrollment Class size high comparison twentyfirstcentury', 'UN Grendler DOI open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License jesuit study brillcomjjs Culture Jesuit Teacher Paul F Grendler University Toronto emeritus paulgrendlergmailcom Abstract culture Jesuit teacher consist daily pedagogical attitude habit practice General Laínez decree school impor tant ministry Jesuit scholastic priest teach teach grammar humanity class low school year jesuit spend career teach upper school Learning manage class room boy aid student helper call decurion teacher culture Jesuit teacher culture strongly emphasize competition reward good student punish weak student major purpose Jesuit teacher culture educate boy good future leader state church Jesuit teacher', 'son important family future ruler society good policy base virtue learn Jesuit school benefit society time noble school increasingly important Jesuit education Italy Jesuit noble boarding school Jesuit boarding school emphasis educate elite Jesuit pedagogical culture J esuit teacher Cares poor weak student Jesuit teacher criticize jesuit favor noblyborn wealthy student Tommaso Termanini devote passionate strongly word chapter treatise topic see Jesuit teacher favorite student begin odious teacher favor student natural gift illustrious birth recom mendation powerful people usefulness teacher instead urge Jesuit teacher partial student need help teacher work christian charity Termanini acknowledge man corrupt nature low appetite incline']"
3,107,3_japanese_japan_xavier_buddhism,"['japanese', 'japan', 'xavier', 'buddhism', 'kirishitanban', 'press', 'tokyo', 'christian', 'tedeschis', 'fede']","['contribute study globalization Jesuit intellectual history library research Keywords Book history translation Kirishitanban accommodation Christianity Japan cultural history language mission Luis de Granada Alessandro Valignano SJ Joannes Laures introduction member Society Jesus travel Japan pub lishe book tract typographic machine bring Open Access Orii open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License journal jesuit study UN Kirishitan phonetic spelling japanese pronunciation Cristão portuguese word Christian Ban mean print press typeset period time Francis Xavier SJ land Japan King John IV Portugal r receive final diplomatic document Tokugawa Shogunate know Christian Century term coin Charles Boxer book title', 'man address La conversione alla santa fede dur ing great theological dispute identify Abé primary misunder stand Jesuit pursuit identify japanese god assertion buddhist deity central doctrine way God core approach Japanese lens Christianity fail understand mystical law core Buddhism Shaka Amida individual believe fulfil law enlighten Buddha t edeschis conflation Buddhism Japan king Bungo regard intelli gent man know fact layman well acquaint good grasp sect especially Zen important rank choro sect correspond roughly Open Access Takao open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Francis Xavier Court Ōtomo Yoshishige journal jesuit study Dumoulin Zen', 'journal jesuit study UNbrillcomjjs takao doi open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License Francis Xavier Court Ōtomo Yoshishige Representations Religious Disputation Jesuits Buddhists La conversione alla santa fede del di Bungo giaponese Makoto Harris Takao University Western Australia makototakaoresearchuwaeduau Abstract seventeenth eighteenth century exotic tale conversion martyrdom set Japan play Jesuit stage Europe way Japans Christian Century endure Jesuit mind source spiritual creative inspiration development japanese genre acted musical drama historical Society Jesus scarcely travel road search explore unique performance tradition article present analysis know example oratorio base solely japanese theme La conver sione alla']"
4,81,4_body_exercises_ignatius_spiritual,"['body', 'exercises', 'ignatius', 'spiritual', 'ignatiuss', 'exercise', 'physical', 'ignatian', 'practice', 'life']","['increase diminish accord age disposition mind body complexion nature help perfor mance exercise refer body active factor balance foster spiritual asceticism mean take care one body important take care one soul need rest order carry exercise Ignatius state note expedient give exercise endow vigor mind strength body diminish prescribed exer cis order well able attain desire relevance human body individual spirituality parallel presence overemphasize accord contemporary detractor divine body liturgy Eucharist transubstantiation rite sacrifice Ignatius affirm extent make weekly practice generate scandal certain quarter Catholicism gear confront protestant supperare pillar Jesuit religious practice Likewise mystical body Ignatiuss organicist vision Society', 'body Jesuit spirituality effect practice young people jesuit mind body train college Society return origin spirituality Ignatius Loyola Spiritual Exercises sketch clear profile positive role body human askesis Body Ignatian Spirituality Ignatiuss Exercises fact see method ratio set ascetic route Christian submit call constantly vigilant command hisher conscience journey interior asceticism modern aspectand key success Exercises large swathe sixteenthcentury societyis method exercitant hisher spiritual director term fact appear edition Exercises follow order render efficient possible hisher religious path method largely envisage Ignatius follow byway heart sense emotion aspect accord Ignatius implicate body development christian consciousness represent indispens able correlative formation', 'hygiene general treatment body play physical exercise sport include theater way show rest actually intend exercise form action essential cultivation skill require educational goal Society Jesus presence leisure body care education outcome broad conception Jesuit spirituality origin notion Ignatius Loyola spiritual relationship mind body result biographical event cultural influence year Paris Ignatius develop strong belief need psychosomatic unity effective human askesis body cease physical manifestation sinfulness punish tool foster individual spirituality Societys Constitutions clearly later prescribe strictly limit use severe punish ment practice discipline body Punishment body unreasonable excessive vigil fast penance usually cause harm prevent high individual need physical']"
5,73,5_atlantic_essay_spanish_world,"['atlantic', 'essay', 'spanish', 'world', 'atlantic world', 'modern', 'iberian', 'latin', 'history', 'americas']","['Book Reviews journal jesuit study UN Stephanie Kirk Sarah Rivett ed Religious Transformations early Modern Americas Philadelphia University Pennsylvania Press Pp vi Hb tremendously rich interdisciplinary volume editor Stephanie Kirk Sarah Rivett collect group essay explore diverse com plex way early modern european empire Americas reshape Western Christianity collection build recent trend atlantic history comparative analysis thank small measure J H Elliotts mag isterial study empire Atlantic World New Haven Yale University Press scholar abandon prominent notion atlantic world divide conflict system largely isolate IberianCatholic AngloProtestant deny obvious rivalry Spain Britain new study tend underline commonality interconnectedness Atlantic network empire', 'rise capitalisminto coherent interdependent tenpage narrative impressive essay eschew geographic determinism implicit Atlantic historiography com mon critique Atlantic History update imperial history criticism especially resonate work use national boundary Book Reviews journal jesuit study UN Book Reviews delineate version Atlantic World book article British Atlantic Atlantic History inherently transnational aim break border construct nationalist impulse integrate Africa Europe Americas systematic essay challenge trend help understand Atlantic completeand seemingly genuineway contain entry cover topic Atlantic History organize alphabetically contributor veritable s field include scholar globe different discipline Entries range stunningly brilliant like Mark Petersons Capitalism utterly fascinating Eva BotellaOrdinass Livestock cover', 'Book Reviews journal jesuit study UNFrancisco Colom González Angel Rivero ed Traditions Liberty Atlantic World Origins Ideas Practices Leiden Boston Brill Pp ix Hb Liberty write Michel Ducharme essay contain anthology help reshape intellectual foundation atlantic world funda mentally transform people conceptualize social power relation Ducharme contributor volume painstakingly note liberty despite fundamental epiphenomenon atlantic world little influence scholarship outside American Revolution concept uneasy relationship rest Atlantic especially place role large transnational age Revo lution essay contain Traditions Liberty seek understand latin american revolution iberian nation monarchi cal semiindependent state Brazil Canada fit large conversation liberty revolution atlantic world give']"
6,73,6_vieira_brazil_antónio_bahia,"['vieira', 'brazil', 'antónio', 'bahia', 'andreoni', 'arsi bras', 'bras', 'arsi', 'são', 'portuguese']","['access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License journal jesuit study UN Ant ónio Vieira Voto sobre dúvidas dos moradore de São Paulo acerca da administra ção do índio Vieira Obras escolhida Despit e decisive victory future Society Jesus Brazil Andreoni contin ue attack Vieira decree foreigner shall comment later João António Andreoni Tirso González Bahia arsi Bras ii v João António Andreoni Tirso González Bahia July arsi Bras matter confirm position curtail Vieiras action Andreoni identify particular appeal prominent noble Kingdom Portugal r espectively Pasquale Petrone Aldeamentos paulista São Paulo Edusp John Monteiro Dos campos de', 'file Andreoni Provincials Alexandre de Gusmão Diogo Machado reason new royal law add restriction follow year include restrict position provincial portuguese note amendment law Andreoni assume second time position secretary Provincial Alexandre de Gusmão later ascend Open Access Zeron open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License journal jesuit study UN F rancisco de Matos Tirso González Rio de Janeiro March arsi Bras Leite História da Companhia J oão António Andreoni Tirso González Bahia July arsi Bras Ant ónioVieira Duke Cadaval July Cartas Padre António Vieira fact declar ed unfit vote eligible provin cial congregation discuss', 'visitor mention stilllatent problem São Paulo Open Access Zeron open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License n Farce Tragedy journal jesuit study UN p ernambuco Andreoni follow Vieiras instruction having replace italian Alexandre Perier government house Paraíba visitor demand dismiss António Vieira Tirso González Bahia August arsi Bras J oão António Andreoni José Fócio Admonitor Father General live Cúrcio Sexti Vice Superior Bahia June arsi Bras Ale xandre de Gusmão Tirso González Bahia July arsi Bras assume intend resolve issue intervene appoint ment province important office seek weaken remove priest support formerProvincial Alexandre de Gusmão']"
7,68,7_woman_gender_amerindian_discourse,"['woman', 'gender', 'amerindian', 'discourse', 'amerindian woman', 'relations', 'gendered', 'colonial', 'man', 'colonial discourse']","['virago straddle boundary sex instance example Perpetua fight heroically gladiatorial ring like man draw robe Open Access Dunn open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n thing journal jesuit study UN give insight decade colonial discourse analysis course difficult accept argument sex relation gendered identity Amerindians New France actually transform Jesuits polyvalence discourse gender operative seventeenthcentury France suggest difficult con tend Jesuits want transform sex relation gendered identi tie amerindian woman virility Jesuits persist see amerindian woman Christian arguably foreign familiar true Jesuits interpret manliness amerindian woman deviant symptomatic transgressive femininity need constant vigilance supervision readily', 'journal jesuit study UNbrillcomjjs Dunn doi open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License thing Discursive Polyvalence Representations amerindian Women Jesuit Relations Mary Dunn St Louis University Abstract article confirm argue bifurcate representation amerindian woman Jesuit Relations aggressive insubordinate prideful licentious hand docile obedient humble chaste extend analysis gendered discourse work text argue Relations persist characterize type amerindian woman virile excess limit prescribed femininity Attention stubborn persistence virile Jesuit representation amerindian woman suggest encounter French Jesuit gender norm gendered ideal native indigenous population colonial Canada well understand encounter range compete discourse gender gesture polyvalence gendered discourse', 'journal jesuit study UN persistence virile Jesuit representation amerindian woman confound dichotomous reading Relations suggest history encounter seventeenthcentury french Jesuits amerindian counterpart collision oppose set gender norm end inversion sex relation conver sion gendered identity persistence suggest gendered discourse work Relations richly polyvalent jesuit come New France early seventeenth century import aristotelian thomistic idea gender set discourse fracture compete ideal femininity inclusive figure honnête fille Amazon femme forte virago equal diversity negative counterpart encounter consequent Jesuit arrival early modern Canada set gender norm opposite diversity discourse gender alternately challenge confirm subtly inflect relation sex gendered identity amerindian French alike Domna']"
8,62,8_science_scientific_jesuit_galileo,"['science', 'scientific', 'jesuit', 'galileo', 'observatory', 'clavius', 'copernican', 'astronomy', 'riccioli', 'udías']","['Riverview introduction restoration Society Jesus Jesuits begin establish observatory university faculty philosophy college Agustín u día search Heavens Earth history Jesuit Observatories Dordrecht Kluwer Academic Publishers Udías Jesuit Contribution Science History Dordrecht Springer chap Open Access Udías open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License nUdías journal jesuit study UN interesting phenomenon Jesuit contribution science receive sufficient attention found observatory foremost desire continue scientific tradition old Society especially astronomy observatory way jesuit pre ent field natural science scientific work Jesuits obs vatorie present practical refutation rationalistic current spread middle nineteenth century aggressively main taine incompatibility science christian', 'modern science begin notice continuity Middle Ages difference modern science use n early Modern Jesuit Science historiographical Essay Journal Jesuit Studies William B Ashworth Jr Catholicism Early Modern Science God Nature Historical Essays Encounter Christianity Science ed David C Lindberg Ronald L Numbers Berkeley University California Press J L Heilbron Electricity th century study Early Modern Physics chap sect Jesuits Berkeley University California Press chapter reprint idem element early Modern Physics Berkeley University California Press science anachronistic scholar study natural philosophy university professional class scientist sixteenth seventeenth century cartography chronology study natural world subject today anathema scientist astrol ogy alchemy', 'new instrument result improvement mathematics astronomy physics keep work alive magnetism electric ity correct calendar improve map earth sky teacher influence method argumentation encourage rigor ous logic use experiment pursuit science mathemat ics science mission Asia Americas aid success mission Historians science realize detail progress science sixteenth seventeenth century require inclusion Jesuit science Keywords Christoph Clavius Giambattista Riccioli Nicolaus Copernicus Galileo Galilei Athanasius Kircher China Matteo Ricci Americas mathematic astronomy physics cartography telescope natural history brillcomjjs n early Modern Jesuit Science historiographical Essay Journal Jesuit Studies Herbert terfield Whig Interpretation History New York Norton v Ibid Herbert terfield Origins Modern']"
